reportDate;country_name_german;cases;deaths;countryCode;population_number;population_density
07-02-2020;Großbritannien;3;0;;;
08-02-2020;Großbritannien;3;0;;;
09-02-2020;Großbritannien;3;0;;;
10-02-2020;Großbritannien;8;0;;;
11-02-2020;Großbritannien;8;0;;;
12-02-2020;Großbritannien;9;0;;;
13-02-2020;Großbritannien;9;0;;;
14-02-2020;Großbritannien;9;0;;;
15-02-2020;Großbritannien;9;0;;;
16-02-2020;Großbritannien;9;0;;;
17-02-2020;Großbritannien;9;0;;;
18-02-2020;Großbritannien;9;0;;;
19-02-2020;Großbritannien;9;0;;;
20-02-2020;Großbritannien;9;0;;;
21-02-2020;Großbritannien;9;0;;;
22-02-2020;Großbritannien;9;0;;;
23-02-2020;Großbritannien;9;0;;;
24-02-2020;Großbritannien;13;0;;;
25-02-2020;Großbritannien;13;0;;;
26-02-2020;Großbritannien;13;0;;;
27-02-2020;Großbritannien;15;0;;;
28-02-2020;Großbritannien;20;0;;;
29-02-2020;Großbritannien;23;0;;;
01-03-2020;Großbritannien;36;0;;;
02-03-2020;Großbritannien;40;0;;;
03-03-2020;Großbritannien;51;0;;;
04-03-2020;Großbritannien;86;0;;;
05-03-2020;Großbritannien;116;1;;;
06-03-2020;Großbritannien;164;2;;;
07-03-2020;Großbritannien;207;2;;;
08-03-2020;Großbritannien;274;3;;;
09-03-2020;Großbritannien;322;4;;;
10-03-2020;Großbritannien;384;6;;;
11-03-2020;Großbritannien;459;8;;;
12-03-2020;Großbritannien;594;8;;;
13-03-2020;Großbritannien;802;8;;;
14-03-2020;Großbritannien;1144;21;;;
15-03-2020;Großbritannien;1145;21;;;
16-03-2020;Großbritannien;1551;56;;;
17-03-2020;Großbritannien;1960;56;;;
18-03-2020;Großbritannien;2642;72;;;
19-03-2020;Großbritannien;2716;138;;;
20-03-2020;Großbritannien;4014;178;;;
21-03-2020;Großbritannien;5067;234;;;
22-03-2020;Großbritannien;5745;282;;;
23-03-2020;Großbritannien;6726;336;;;
24-03-2020;Großbritannien;8164;423;;;
25-03-2020;Großbritannien;9640;466;;;
26-03-2020;Großbritannien;11812;580;;;
22-01-2020;Niederlande;0;0;;;
23-01-2020;Niederlande;0;0;;;
