Wappen;Stadt;BL;Regierungs­bezirk[4];UZ;Flächeinkm²;tEW1939[5];tEW1950[6];tEW1970[7];tEW1990[8];tEW2011[9];EWjetzt;Bev.-dichte(EW/km²);Lagekarte
Wappen der Stadt Frankfurt (Oder);Frankfurt (Oder)(52° 21′ N, 14° 33′ O);Brandenburg BB;–;FF;147,85;83,6;52,8;62,0;86,2;60,0;57.873 (2018);391;Lage der Stadt Frankfurt (Oder) in Brandenburg
Wappen der Stadt Frankfurt am Main;Frankfurt am Main(50° 7′ N, 8° 41′ O);Hessen HE;Darmstadt;F;248,31;553,5;532,0;666,2;641,3;691,5;753.056 (2018);3033;Lage der Stadt Frankfurt am Main in Hessen
Wappen der Stadt Freiburg im Breisgau;Freiburg im Breisgau(48° 0′ N, 7° 51′ O);Baden-Württemberg BW;Freiburg;FR;153,06;110,1;109,7;163,6;189,3;229,1;230.241 (2018);1504;Lage der Stadt Freiburg im Breisgau in Baden-Württemberg
Wappen der Stadt Fürth;Fürth(49° 29′ N, 10° 59′ O);Bayern BY;Mittelfranken;FÜ;63,35;82,3;99,9;94,4;102,0;116,3;127.748 (2018);2017;Lage der Stadt Fürth in Bayern
Wappen der Stadt Gelsenkirchen;Gelsenkirchen(51° 31′ N, 7° 6′ O);Nordrhein-Westfalen NW;Münster;GE;104,94;317,6;315,5;347,1;292,2;256,7;260.654 (2018);2484;Lage der Stadt Gelsenkirchen in Nordrhein-Westfalen
Wappen der Stadt Gera;Gera(50° 53′ N, 12° 5′ O);Thüringen TH;–;G;152,18;83,4;98,6;111,1;129,7;98,8;94.152 (2018);619;Lage der Stadt Gera in Thüringen
Wappen der Stadt Göttingen;Göttingen[2](51° 32′ N, 9° 56′ O);Niedersachsen NI;–;GÖ;116,89;51,2;78,7;109,9;120,9;121,4;119.801 (2018);1025;Lage der Stadt Göttingen in Niedersachsen
Wappen der Stadt Hagen;Hagen(51° 22′ N, 7° 29′ O);Nordrhein-Westfalen NW;Arnsberg;HA;160,45;151,8;146,4;201,0;213,5;187,4;188.814 (2018);1177;Lage der Stadt Hagen in Nordrhein-Westfalen
Wappen der Stadt Halle (Saale);Halle (Saale)(51° 29′ N, 11° 58′ O);Sachsen-Anhalt ST;–;HAL;135,02;220,1;289,1;292,5[13];311,4;233,7;239.257 (2018);1772;Lage der Stadt Halle (Saale) in Sachsen-Anhalt
Wappen der Stadt Hamburg;Hamburg(53° 33′ N, 10° 0′ O);Hamburg HH;–;HH;755,22;1711,9;1605,6;1793,6;1640,1;1798,8;1.841.179 (2018);2505;Karte der Stadt Hamburg
Wappen der Stadt Hamm;Hamm(51° 41′ N, 7° 49′ O);Nordrhein-Westfalen NW;Arnsberg;HAM;226,43;59,0;59,9;84,6;178,2;182,1;179.111 (2018);791;Lage der Stadt Hamm in Nordrhein-Westfalen
Wappen der Stadt Hannover;Hannover[3](52° 22′ N, 9° 44′ O);Niedersachsen NI;–;H;204,14;471,0;444,3;521,0;509,8;525,9;538.068 (2018);2636;Lage der Stadt Hannover in Niedersachsen
Wappen der Stadt Heidelberg;Heidelberg(49° 25′ N, 8° 43′ O);Baden-Württemberg BW;Karlsruhe;HD;108,84;86,5;116,5;121,4;135,8;149,6;160.355 (2018);1473;Lage der Stadt Heidelberg in Baden-Württemberg
Wappen der Stadt Heilbronn;Heilbronn(49° 9′ N, 9° 13′ O);Baden-Württemberg BW;Stuttgart;HN;99,88;77,6;64,6;102,3;115,1;124,3;125.960 (2018);1261;Lage der Stadt Heilbronn in Baden-Württemberg
Wappen der Stadt Herne;Herne(51° 33′ N, 7° 13′ O);Nordrhein-Westfalen NW;Arnsberg;HER, WAN;51,42;94,6;111,6;103,8;177,4;164,2;156.374 (2018);3041;Lage der Stadt Herne in Nordrhein-Westfalen
Wappen der Stadt Hof;Hof(50° 19′ N, 11° 55′ O);Bayern BY;Oberfranken;HO;58,03;44,9;61,0;54,1;52,8;45,9;45.930 (2018);791;Lage der Stadt Hof in Bayern
Wappen der Stadt Ingolstadt;Ingolstadt(48° 46′ N, 11° 25′ O);Bayern BY;Oberbayern;IN;133,37;33,4;40,5;70,6;103,6;126,7;136.981 (2018);1027;Lage der Stadt Ingolstadt in Bayern
Wappen der Stadt Jena;Jena(50° 56′ N, 11° 35′ O);Thüringen TH;–;J;114,77;70,6;80,3;88,3;102,7;105,5;111.407 (2018);971;Lage der Stadt Jena in Thüringen
Wappen der Stadt Kaiserslautern;Kaiserslautern(49° 27′ N, 7° 46′ O);Rheinland-Pfalz RP;–;KL;139,74;70,7;62,8;100,7;98,4;99,8;99.845 (2018);715;Lage der Stadt Kaiserslautern in Rheinland-Pfalz
Wappen der Stadt Karlsruhe;Karlsruhe(49° 1′ N, 8° 24′ O);Baden-Württemberg BW;Karlsruhe;KA;173,46;190,1;198,8;259,1;272,8;297,5;313.092 (2018);1805;Lage der Stadt Karlsruhe in Baden-Württemberg
Wappen der Stadt Kassel;Kassel(51° 19′ N, 9° 30′ O);Hessen HE;Kassel;KS;106,78;216,1;162,1;214,8;193,4;196,5;201.585 (2018);1888;Lage der Stadt Kassel in Hessen
Wappen der Stadt Kaufbeuren;Kaufbeuren(47° 53′ N, 10° 37′ O);Bayern BY;Schwaben;KF;40,03;13,4;19,9;38,9;40,0;41,7;43.893 (2018);1097;Lage der Stadt Kaufbeuren in Bayern
Wappen der Stadt Kempten (Allgäu);Kempten (Allgäu)(47° 44′ N, 10° 19′ O);Bayern BY;Schwaben;KE;63,28;29,7;39,8;44,9;61,5;62,2;68.907 (2018);1089;Lage der Stadt Kempten (Allgäu) in Bayern
Wappen der Stadt Kiel;Kiel(54° 20′ N, 10° 8′ O);Schleswig-Holstein SH;–;KI;118,65;273,7;254,4;271,0;244,8;242,0;247.548 (2018);2086;Lage der Stadt Kiel in Schleswig-Holstein
Wappen der Stadt Koblenz;Koblenz(50° 21′ N, 7° 36′ O);Rheinland-Pfalz RP;–;KO;105,13;91,1;66,4;120,1;108,2;106,7;114.024 (2018);1085;Lage der Stadt Koblenz in Rheinland-Pfalz
Wappen der Stadt Köln;Köln(50° 56′ N, 6° 57′ O);Nordrhein-Westfalen NW;Köln;K;405,02;772,2;594,9;849,5;950,2;1017,2;1.085.664 (2018);2681;Lage der Stadt Köln in Nordrhein-Westfalen
Wappen der Stadt Krefeld;Krefeld(51° 20′ N, 6° 34′ O);Nordrhein-Westfalen NW;Düsseldorf;KR;137,77;171,0;171,9;222,7;242,6;234,4;227.020 (2018);1648;Lage der Stadt Krefeld in Nordrhein-Westfalen
Wappen der Stadt Landau in der Pfalz;Landau in der Pfalz(49° 12′ N, 8° 7′ O);Rheinland-Pfalz RP;–;LD;82,96;25,7;23,2;31,4;37,0;44,0;46.677 (2018);563;Lage der Stadt Landau in der Pfalz in Rheinland-Pfalz
Wappen der Stadt Landshut;Landshut(48° 32′ N, 12° 9′ O);Bayern BY;Niederbayern;LA;65,81;31,6;46,8;52,4;58,6;64,3;72.404 (2018);1100;Lage der Stadt Landshut in Bayern
Wappen der Stadt Leipzig;Leipzig(51° 20′ N, 12° 22′ O);Sachsen SN;–;L;297,8;707,4;617,6;584,4;513,6;531,8;587.857 (2018);1974;Lage der Stadt Leipzig in Sachsen
Wappen der Stadt Leverkusen;Leverkusen(51° 2′ N, 6° 59′ O);Nordrhein-Westfalen NW;Köln;LEV, OP;78,87;50,1;65,5;107,6;159,8;161,2;163.838 (2018);2077;Lage der Stadt Leverkusen in Nordrhein-Westfalen
Wappen der Stadt Lübeck;Lübeck(53° 52′ N, 10° 41′ O);Schleswig-Holstein SH;–;HL;214,21;154,8;238,3;240,0;214,4;210,6;217.198 (2018);1014;Lage der Stadt Lübeck in Schleswig-Holstein
Wappen der Stadt Ludwigshafen am Rhein;Ludwigshafen am Rhein(49° 29′ N, 8° 27′ O);Rheinland-Pfalz RP;–;LU;77,55;144,4;123,9;176,3;161,1;165,6;171.061 (2018);2206;Lage der Stadt Ludwigshafen am Rhein in Rheinland-Pfalz
Wappen der Stadt Magdeburg;Magdeburg(52° 8′ N, 11° 37′ O);Sachsen-Anhalt ST;–;MD;201;336,8;260,3;270,7;279,9;232,4;238.697 (2018);1188;Lage der Stadt Magdeburg in Sachsen-Anhalt
Wappen der Stadt Mainz;Mainz(50° 0′ N, 8° 16′ O);Rheinland-Pfalz RP;–;MZ;97,74;158,5;88,4;174,9;178,0;201,0;217.118 (2018);2221;Lage der Stadt Mainz in Rheinland-Pfalz
