stateCode,reportDate,source,cases,deaths,population_number,population_density
DE-MV,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),167,0,1612000,69
DE-NI,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1262,0,7927000,167
DE-NW,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),6257,20,17866000,524
DE-RP,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),890,1,4053000,204
DE-SL,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),217,0,996000,388
DE-SN,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),562,1,4085000,221
DE-ST,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),217,0,2245000,110
DE-SH,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),321,1,2859000,181
DE-TH,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),161,0,2171000,134
DE-BW,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),3818,23,10880000,304
DE-BY,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),3695,21,12844000,182
DE-BE,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1025,1,3520000,3948
DE-BB,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),315,1,2485000,84
DE-HB,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),168,0,671000,1599
DE-HH,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),768,1,1787000,2366
DE-HE,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1166,2,6176000,293
DE-MV,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),182,0,1612000,69
DE-NI,2020-03-21,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1452,4,7927000,167
